State,State Name,Year,Month,Indicator,Data Value,Predicted Value,Percent Complete,Percent Pending Investigation,Footnote
AK,Alaska,2017,May,Number of Deaths,"4,278",,100,0.070126227,* Underreported due to incomplete data
AK,Alaska,2017,June,Number of Deaths,"4,277",,100,0.070142623,* Underreported due to incomplete data
AK,Alaska,2017,July,Number of Deaths,"4,238",,100,0.070788108,* Underreported due to incomplete data
AK,Alaska,2017,August,Number of Deaths,"4,236",,100,0.047214353,* Underreported due to incomplete data
AK,Alaska,2017,September,Number of Deaths,"4,301",,100,0.023250407,* Underreported due to incomplete data
AK,Alaska,2017,October,Number of Deaths,"4,285",,100,0,* Underreported due to incomplete data
AK,Alaska,2017,November,Number of Deaths,"4,312",,100,0,* Underreported due to incomplete data
AK,Alaska,2017,December,Number of Deaths,"4,284",,100,0,* Underreported due to incomplete data
AK,Alaska,2018,January,Number of Deaths,"4,263",,100,0.023457659,* Underreported due to incomplete data
AK,Alaska,2015,January,Number of Drug Overdose Deaths,126,127,100,0,
AK,Alaska,2015,February,Number of Drug Overdose Deaths,127,128,100,0,
AK,Alaska,2015,March,Number of Drug Overdose Deaths,125,126,100,0,
AK,Alaska,2015,April,Number of Drug Overdose Deaths,126,127,100,0,
AK,Alaska,2015,May,Number of Drug Overdose Deaths,125,126,100,0,
AK,Alaska,2015,June,Number of Drug Overdose Deaths,121,122,100,0,
AK,Alaska,2015,July,Number of Drug Overdose Deaths,117,118,100,0,
AK,Alaska,2015,August,Number of Drug Overdose Deaths,124,125,100,0,
AK,Alaska,2015,September,Number of Drug Overdose Deaths,125,126,100,0,
AK,Alaska,2015,October,Number of Drug Overdose Deaths,120,121,100,0,
AK,Alaska,2015,November,Number of Drug Overdose Deaths,115,116,100,0,
AK,Alaska,2015,December,Number of Drug Overdose Deaths,121,122,100,0,
AK,Alaska,2016,January,Number of Drug Overdose Deaths,126,127,100,0,
AK,Alaska,2016,February,Number of Drug Overdose Deaths,128,129,100,0,
AK,Alaska,2016,March,Number of Drug Overdose Deaths,125,126,100,0,
AK,Alaska,2016,April,Number of Drug Overdose Deaths,132,133,100,0,
AK,Alaska,2016,May,Number of Drug Overdose Deaths,140,141,100,0,
AK,Alaska,2016,June,Number of Drug Overdose Deaths,138,139,100,0,
AK,Alaska,2016,July,Number of Drug Overdose Deaths,143,144,100,0,
AK,Alaska,2016,August,Number of Drug Overdose Deaths,138,140,100,0.023386342,
AK,Alaska,2016,September,Number of Drug Overdose Deaths,131,133,100,0.046992481,
AK,Alaska,2016,October,Number of Drug Overdose Deaths,131,134,100,0.069913773,
AK,Alaska,2016,November,Number of Drug Overdose Deaths,133,136,100,0.069946374,
AK,Alaska,2016,December,Number of Drug Overdose Deaths,129,131,100,0.068886338,
AK,Alaska,2017,January,Number of Drug Overdose Deaths,126,127,100,0.068587106,* Underreported due to incomplete data
AK,Alaska,2017,February,Number of Drug Overdose Deaths,124,126,100,0.069013112,* Underreported due to incomplete data
AK,Alaska,2017,March,Number of Drug Overdose Deaths,126,128,100,0.068807339,* Underreported due to incomplete data
AK,Alaska,2017,April,Number of Drug Overdose Deaths,117,119,100,0.069348128,* Underreported due to incomplete data
AK,Alaska,2017,May,Number of Drug Overdose Deaths,120,122,100,0.070126227,* Underreported due to incomplete data
AK,Alaska,2017,June,Number of Drug Overdose Deaths,122,124,100,0.070142623,* Underreported due to incomplete data
AK,Alaska,2017,July,Number of Drug Overdose Deaths,128,131,100,0.070788108,* Underreported due to incomplete data
AK,Alaska,2017,August,Number of Drug Overdose Deaths,137,140,100,0.047214353,* Underreported due to incomplete data
AK,Alaska,2017,September,Number of Drug Overdose Deaths,148,150,100,0.023250407,* Underreported due to incomplete data
AK,Alaska,2017,October,Number of Drug Overdose Deaths,144,146,100,0,* Underreported due to incomplete data
AK,Alaska,2017,November,Number of Drug Overdose Deaths,138,139,100,0,* Underreported due to incomplete data
AK,Alaska,2017,December,Number of Drug Overdose Deaths,141,141,100,0,* Underreported due to incomplete data
AK,Alaska,2018,January,Number of Drug Overdose Deaths,138,138,100,0.023457659,* Underreported due to incomplete data
AL,Alabama,2015,January,Number of Deaths,"49,543",,100,0.33708092,
AL,Alabama,2015,February,Number of Deaths,"50,004",,100,0.323974082,
AL,Alabama,2015,March,Number of Deaths,"50,486",,100,0.308996553,
AL,Alabama,2015,April,Number of Deaths,"50,565",,100,0.316424404,
AL,Alabama,2015,May,Number of Deaths,"50,516",,100,0.318710903,
AL,Alabama,2015,June,Number of Deaths,"50,658",,100,0.341505784,
AL,Alabama,2015,July,Number of Deaths,"50,841",,100,0.330441966,
AL,Alabama,2015,August,Number of Deaths,"50,930",,100,0.331827999,
AL,Alabama,2015,September,Number of Deaths,"51,044",,100,0.323250529,
AL,Alabama,2015,October,Number of Deaths,"51,091",,100,0.309252119,
AL,Alabama,2015,November,Number of Deaths,"51,093",,100,0.293582291,
AL,Alabama,2015,December,Number of Deaths,"50,870",,100,0.310595636,
AL,Alabama,2016,January,Number of Deaths,"50,534",,100,0.302766454,
AL,Alabama,2016,February,Number of Deaths,"50,555",,100,0.282860251,
AL,Alabama,2016,March,Number of Deaths,"50,348",,100,0.282037022,
AL,Alabama,2016,April,Number of Deaths,"50,391",,100,0.279811871,
AL,Alabama,2016,May,Number of Deaths,"50,511",,100,0.28310665,
AL,Alabama,2016,June,Number of Deaths,"50,613",,100,0.264754115,
AL,Alabama,2016,July,Number of Deaths,"50,683",,100,0.278199791,
AL,Alabama,2016,August,Number of Deaths,"50,756",,100,0.264008196,
AL,Alabama,2016,September,Number of Deaths,"50,810",,100,0.265695729,
AL,Alabama,2016,October,Number of Deaths,"50,869",,100,0.287011736,
AL,Alabama,2016,November,Number of Deaths,"51,110",,100,0.275875563,
AL,Alabama,2016,December,Number of Deaths,"51,431",,100,0.270265015,
AL,Alabama,2017,January,Number of Deaths,"51,652",,100,0.259428483,* Underreported due to incomplete data
AL,Alabama,2017,February,Number of Deaths,"51,542",,100,0.25610182,* Underreported due to incomplete data
AL,Alabama,2017,March,Number of Deaths,"51,669",,100,0.251601541,* Underreported due to incomplete data
AL,Alabama,2017,April,Number of Deaths,"51,796",,100,0.231678122,* Underreported due to incomplete data
AL,Alabama,2017,May,Number of Deaths,"51,946",,100,0.21368344,* Underreported due to incomplete data
AL,Alabama,2017,June,Number of Deaths,"52,007",,100,0.205741535,* Underreported due to incomplete data
AL,Alabama,2017,July,Number of Deaths,"52,044",,100,0.188302206,* Underreported due to incomplete data
AL,Alabama,2017,August,Number of Deaths,"52,085",,100,0.184314102,* Underreported due to incomplete data
AL,Alabama,2017,September,Number of Deaths,"52,243",,100,0.174186015,* Underreported due to incomplete data
AL,Alabama,2017,October,Number of Deaths,"52,281",,100,0.158757484,* Underreported due to incomplete data
AL,Alabama,2017,November,Number of Deaths,"52,274",,100,0.164517733,* Underreported due to incomplete data
AL,Alabama,2017,December,Number of Deaths,"52,328",,100,0.143326708,* Underreported due to incomplete data
AL,Alabama,2018,January,Number of Deaths,"53,117",,100,0.160024098,* Underreported due to incomplete data
AL,Alabama,2015,January,Number of Drug Overdose Deaths,715,761,100,0.33708092,
AL,Alabama,2015,February,Number of Drug Overdose Deaths,723,768,100,0.323974082,
AL,Alabama,2015,March,Number of Drug Overdose Deaths,733,776,100,0.308996553,
AL,Alabama,2015,April,Number of Drug Overdose Deaths,738,783,100,0.316424404,
AL,Alabama,2015,May,Number of Drug Overdose Deaths,755,801,100,0.318710903,
AL,Alabama,2015,June,Number of Drug Overdose Deaths,756,806,100,0.341505784,
AL,Alabama,2015,July,Number of Drug Overdose Deaths,743,790,100,0.330441966,
AL,Alabama,2015,August,Number of Drug Overdose Deaths,736,783,100,0.331827999,
AL,Alabama,2015,September,Number of Drug Overdose Deaths,744,790,100,0.323250529,
AL,Alabama,2015,October,Number of Drug Overdose Deaths,730,773,100,0.309252119,
AL,Alabama,2015,November,Number of Drug Overdose Deaths,725,766,100,0.293582291,
AL,Alabama,2015,December,Number of Drug Overdose Deaths,720,763,100,0.310595636,
AL,Alabama,2016,January,Number of Drug Overdose Deaths,706,747,100,0.302766454,
AL,Alabama,2016,February,Number of Drug Overdose Deaths,710,749,100,0.282860251,
AL,Alabama,2016,March,Number of Drug Overdose Deaths,681,718,100,0.282037022,
AL,Alabama,2016,April,Number of Drug Overdose Deaths,676,712,100,0.279811871,
AL,Alabama,2016,May,Number of Drug Overdose Deaths,654,690,100,0.28310665,
AL,Alabama,2016,June,Number of Drug Overdose Deaths,674,708,100,0.264754115,
AL,Alabama,2016,July,Number of Drug Overdose Deaths,681,718,100,0.278199791,
AL,Alabama,2016,August,Number of Drug Overdose Deaths,685,720,100,0.264008196,
AL,Alabama,2016,September,Number of Drug Overdose Deaths,695,731,100,0.265695729,
AL,Alabama,2016,October,Number of Drug Overdose Deaths,704,743,100,0.287011736,
AL,Alabama,2016,November,Number of Drug Overdose Deaths,718,756,100,0.275875563,
AL,Alabama,2016,December,Number of Drug Overdose Deaths,740,779,100,0.270265015,
AL,Alabama,2017,January,Number of Drug Overdose Deaths,763,794,100,0.259428483,* Underreported due to incomplete data
AL,Alabama,2017,February,Number of Drug Overdose Deaths,759,793,100,0.25610182,* Underreported due to incomplete data
AL,Alabama,2017,March,Number of Drug Overdose Deaths,794,829,100,0.251601541,* Underreported due to incomplete data
AL,Alabama,2017,April,Number of Drug Overdose Deaths,795,828,100,0.231678122,* Underreported due to incomplete data
AL,Alabama,2017,May,Number of Drug Overdose Deaths,812,843,100,0.21368344,* Underreported due to incomplete data
AL,Alabama,2017,June,Number of Drug Overdose Deaths,804,836,100,0.205741535,* Underreported due to incomplete data
AL,Alabama,2017,July,Number of Drug Overdose Deaths,810,842,100,0.188302206,* Underreported due to incomplete data
AL,Alabama,2017,August,Number of Drug Overdose Deaths,809,844,100,0.184314102,* Underreported due to incomplete data
AL,Alabama,2017,September,Number of Drug Overdose Deaths,801,833,100,0.174186015,* Underreported due to incomplete data
AL,Alabama,2017,October,Number of Drug Overdose Deaths,803,831,100,0.158757484,* Underreported due to incomplete data
AL,Alabama,2017,November,Number of Drug Overdose Deaths,801,828,100,0.164517733,* Underreported due to incomplete data
AL,Alabama,2017,December,Number of Drug Overdose Deaths,809,827,100,0.143326708,* Underreported due to incomplete data
AL,Alabama,2018,January,Number of Drug Overdose Deaths,787,805,100,0.160024098,* Underreported due to incomplete data
AR,Arkansas,2015,January,Number of Deaths,"30,122",,100,0.04979749,
AR,Arkansas,2015,February,Number of Deaths,"30,332",,100,0.046155875,
AR,Arkansas,2015,March,Number of Deaths,"30,387",,100,0.046072334,
AR,Arkansas,2015,April,Number of Deaths,"30,444",,100,0.039416634,
AR,Arkansas,2015,May,Number of Deaths,"30,602",,100,0.042480884,
AR,Arkansas,2015,June,Number of Deaths,"30,722",,100,0.042314953,
AR,Arkansas,2015,July,Number of Deaths,"30,685",,100,0.048883819,
AR,Arkansas,2015,August,Number of Deaths,"30,884",,100,0.048568838,
AR,Arkansas,2015,September,Number of Deaths,"30,931",,100,0.061427047,
AR,Arkansas,2015,October,Number of Deaths,"31,015",,100,0.058036434,
AR,Arkansas,2015,November,Number of Deaths,"31,007",,100,0.061276486,
AR,Arkansas,2015,December,Number of Deaths,"30,986",,100,0.070999806,
AR,Arkansas,2016,January,Number of Deaths,"30,624",,100,0.07183908,
AR,Arkansas,2016,February,Number of Deaths,"30,413",,100,0.072337487,
AR,Arkansas,2016,March,Number of Deaths,"30,421",,100,0.075605667,
AR,Arkansas,2016,April,Number of Deaths,"30,489",,100,0.078716914,
AR,Arkansas,2016,May,Number of Deaths,"30,361",,100,0.07904878,
AR,Arkansas,2016,June,Number of Deaths,"30,434",,100,0.078859171,
AR,Arkansas,2016,July,Number of Deaths,"30,590",,100,0.07518797,
AR,Arkansas,2016,August,Number of Deaths,"30,488",,100,0.078719496,
AR,Arkansas,2016,September,Number of Deaths,"30,540",,100,0.068762279,
AR,Arkansas,2016,October,Number of Deaths,"30,489",,100,0.075437043,
AR,Arkansas,2016,November,Number of Deaths,"30,697",,100,0.074925889,
AR,Arkansas,2016,December,Number of Deaths,"31,028",,100,0.0709037,
AR,Arkansas,2017,January,Number of Deaths,"31,116",,100,0.073916956,* Underreported due to incomplete data
AR,Arkansas,2017,February,Number of Deaths,"31,159",,100,0.083442986,* Underreported due to incomplete data
AR,Arkansas,2017,March,Number of Deaths,"31,312",,100,0.076647931,* Underreported due to incomplete data
AR,Arkansas,2017,April,Number of Deaths,"31,386",,100,0.076467215,* Underreported due to incomplete data
AR,Arkansas,2017,May,Number of Deaths,"31,500",,100,0.079365079,* Underreported due to incomplete data
AR,Arkansas,2017,June,Number of Deaths,"31,559",,100,0.076048037,* Underreported due to incomplete data
AR,Arkansas,2017,July,Number of Deaths,"31,554",,100,0.076060087,* Underreported due to incomplete data
AR,Arkansas,2017,August,Number of Deaths,"31,601",,100,0.06961805,* Underreported due to incomplete data
AR,Arkansas,2017,September,Number of Deaths,"31,723",,100,0.072502601,* Underreported due to incomplete data
AR,Arkansas,2017,October,Number of Deaths,"31,729",,100,0.069337199,* Underreported due to incomplete data
AR,Arkansas,2017,November,Number of Deaths,"31,660",,100,0.078963992,* Underreported due to incomplete data
AR,Arkansas,2017,December,Number of Deaths,"31,830",,100,0.059692114,* Underreported due to incomplete data
AR,Arkansas,2018,January,Number of Deaths,"32,295",,100,0.061929091,* Underreported due to incomplete data
AR,Arkansas,2015,January,Number of Drug Overdose Deaths,366,371,100,0.04979749,
AR,Arkansas,2015,February,Number of Drug Overdose Deaths,366,371,100,0.046155875,
AR,Arkansas,2015,March,Number of Drug Overdose Deaths,385,390,100,0.046072334,
AR,Arkansas,2015,April,Number of Drug Overdose Deaths,373,377,100,0.039416634,
AR,Arkansas,2015,May,Number of Drug Overdose Deaths,383,388,100,0.042480884,
AR,Arkansas,2015,June,Number of Drug Overdose Deaths,391,396,100,0.042314953,
AR,Arkansas,2015,July,Number of Drug Overdose Deaths,395,400,100,0.048883819,
AR,Arkansas,2015,August,Number of Drug Overdose Deaths,398,403,100,0.048568838,
AR,Arkansas,2015,September,Number of Drug Overdose Deaths,392,398,100,0.061427047,
AR,Arkansas,2015,October,Number of Drug Overdose Deaths,397,403,100,0.058036434,
AR,Arkansas,2015,November,Number of Drug Overdose Deaths,389,395,100,0.061276486,
AR,Arkansas,2015,December,Number of Drug Overdose Deaths,381,387,100,0.070999806,
AR,Arkansas,2016,January,Number of Drug Overdose Deaths,378,384,100,0.07183908,
AR,Arkansas,2016,February,Number of Drug Overdose Deaths,379,386,100,0.072337487,
AR,Arkansas,2016,March,Number of Drug Overdose Deaths,363,369,100,0.075605667,
AR,Arkansas,2016,April,Number of Drug Overdose Deaths,372,379,100,0.078716914,
AR,Arkansas,2016,May,Number of Drug Overdose Deaths,376,383,100,0.07904878,
AR,Arkansas,2016,June,Number of Drug Overdose Deaths,369,376,100,0.078859171,
AR,Arkansas,2016,July,Number of Drug Overdose Deaths,378,385,100,0.07518797,
AR,Arkansas,2016,August,Number of Drug Overdose Deaths,383,390,100,0.078719496,
AR,Arkansas,2016,September,Number of Drug Overdose Deaths,379,385,100,0.068762279,
AR,Arkansas,2016,October,Number of Drug Overdose Deaths,372,379,100,0.075437043,
AR,Arkansas,2016,November,Number of Drug Overdose Deaths,378,385,100,0.074925889,
AR,Arkansas,2016,December,Number of Drug Overdose Deaths,386,393,100,0.0709037,
AR,Arkansas,2017,January,Number of Drug Overdose Deaths,384,387,100,0.073916956,* Underreported due to incomplete data
AR,Arkansas,2017,February,Number of Drug Overdose Deaths,380,386,100,0.083442986,* Underreported due to incomplete data
AR,Arkansas,2017,March,Number of Drug Overdose Deaths,384,389,100,0.076647931,* Underreported due to incomplete data
AR,Arkansas,2017,April,Number of Drug Overdose Deaths,386,392,100,0.076467215,* Underreported due to incomplete data
AR,Arkansas,2017,May,Number of Drug Overdose Deaths,383,389,100,0.079365079,* Underreported due to incomplete data
AR,Arkansas,2017,June,Number of Drug Overdose Deaths,398,405,100,0.076048037,* Underreported due to incomplete data
AR,Arkansas,2017,July,Number of Drug Overdose Deaths,395,403,100,0.076060087,* Underreported due to incomplete data
AR,Arkansas,2017,August,Number of Drug Overdose Deaths,406,416,100,0.06961805,* Underreported due to incomplete data
AR,Arkansas,2017,September,Number of Drug Overdose Deaths,413,422,100,0.072502601,* Underreported due to incomplete data
AR,Arkansas,2017,October,Number of Drug Overdose Deaths,410,418,100,0.069337199,* Underreported due to incomplete data
AR,Arkansas,2017,November,Number of Drug Overdose Deaths,411,419,100,0.078963992,* Underreported due to incomplete data
AR,Arkansas,2017,December,Number of Drug Overdose Deaths,425,429,100,0.059692114,* Underreported due to incomplete data
AR,Arkansas,2018,January,Number of Drug Overdose Deaths,425,428,100,0.061929091,* Underreported due to incomplete data
AZ,Arizona,2015,January,Number of Deaths,"52,342",,100,0.32669749,
AZ,Arizona,2015,February,Number of Deaths,"52,371",,100,0.349430028,
AZ,Arizona,2015,March,Number of Deaths,"52,826",,100,0.342634309,
AZ,Arizona,2015,April,Number of Deaths,"53,025",,100,0.341348421,
AZ,Arizona,2015,May,Number of Deaths,"53,225",,100,0.336308126,
AZ,Arizona,2015,June,Number of Deaths,"53,462",,100,0.334817253,
AZ,Arizona,2015,July,Number of Deaths,"53,685",,100,0.324112881,
AZ,Arizona,2015,August,Number of Deaths,"53,907",,100,0.293097371,
AZ,Arizona,2015,September,Number of Deaths,"54,058",,100,0.270080284,
AZ,Arizona,2015,October,Number of Deaths,"54,122",,100,0.249436458,
AZ,Arizona,2015,November,Number of Deaths,"54,421",,100,0.224178167,
AZ,Arizona,2015,December,Number of Deaths,"54,853",,100,0.196889869,
AZ,Arizona,2016,January,Number of Deaths,"54,917",,100,0.160241819,
AZ,Arizona,2016,February,Number of Deaths,"55,755",,100,0.139897767,
AZ,Arizona,2016,March,Number of Deaths,"56,319",,100,0.154477175,
AZ,Arizona,2016,April,Number of Deaths,"56,436",,100,0.173648026,
AZ,Arizona,2016,May,Number of Deaths,"56,522",,100,0.201691377,
AZ,Arizona,2016,June,Number of Deaths,"56,648",,100,0.261262534,
AZ,Arizona,2016,July,Number of Deaths,"56,865",,100,0.33236613,
AZ,Arizona,2016,August,Number of Deaths,"56,960",,100,0.372191011,
AZ,Arizona,2016,September,Number of Deaths,"57,051",,100,0.394383972,
AZ,Arizona,2016,October,Number of Deaths,"57,277",,100,0.464409798,
AZ,Arizona,2016,November,Number of Deaths,"57,252",,100,0.520505834,
AZ,Arizona,2016,December,Number of Deaths,"57,215",,100,0.618718867,
AZ,Arizona,2017,January,Number of Deaths,"57,224",,100,0.618621557,* Underreported due to incomplete data
AZ,Arizona,2017,February,Number of Deaths,"56,612",,100,0.625309122,* Underreported due to incomplete data
AZ,Arizona,2017,March,Number of Deaths,"56,273",,100,0.62729906,* Underreported due to incomplete data
AZ,Arizona,2017,April,Number of Deaths,"56,458",,100,0.616387403,* Underreported due to incomplete data
AZ,Arizona,2017,May,Number of Deaths,"56,726",,100,0.595846702,* Underreported due to incomplete data
AZ,Arizona,2017,June,Number of Deaths,"57,018",,100,0.561226279,* Underreported due to incomplete data
AZ,Arizona,2017,July,Number of Deaths,"57,220",,100,0.519049283,* Underreported due to incomplete data
AZ,Arizona,2017,August,Number of Deaths,"57,316",,100,0.498988066,* Underreported due to incomplete data
AZ,Arizona,2017,September,Number of Deaths,"57,539",,100,0.483150559,* Underreported due to incomplete data
AZ,Arizona,2017,October,Number of Deaths,"57,705",,100,0.405510788,* Underreported due to incomplete data
AZ,Arizona,2017,November,Number of Deaths,"57,863",,100,0.364654442,* Underreported due to incomplete data
AZ,Arizona,2017,December,Number of Deaths,"58,453",,100,0.256616427,* Underreported due to incomplete data
AZ,Arizona,2018,January,Number of Deaths,"59,589",,100,0.302069174,* Underreported due to incomplete data
AZ,Arizona,2015,January,Number of Drug Overdose Deaths,"1,193","1,267",100,0.32669749,
AZ,Arizona,2015,February,Number of Drug Overdose Deaths,"1,175","1,253",100,0.349430028,
AZ,Arizona,2015,March,Number of Drug Overdose Deaths,"1,174","1,251",100,0.342634309,
AZ,Arizona,2015,April,Number of Drug Overdose Deaths,"1,173","1,249",100,0.341348421,
AZ,Arizona,2015,May,Number of Drug Overdose Deaths,"1,184","1,260",100,0.336308126,
AZ,Arizona,2015,June,Number of Drug Overdose Deaths,"1,209","1,286",100,0.334817253,
AZ,Arizona,2015,July,Number of Drug Overdose Deaths,"1,201","1,275",100,0.324112881,
AZ,Arizona,2015,August,Number of Drug Overdose Deaths,"1,240","1,310",100,0.293097371,
AZ,Arizona,2015,September,Number of Drug Overdose Deaths,"1,241","1,305",100,0.270080284,
AZ,Arizona,2015,October,Number of Drug Overdose Deaths,"1,264","1,325",100,0.249436458,
AZ,Arizona,2015,November,Number of Drug Overdose Deaths,"1,269","1,324",100,0.224178167,
AZ,Arizona,2015,December,Number of Drug Overdose Deaths,"1,267","1,316",100,0.196889869,
AZ,Arizona,2016,January,Number of Drug Overdose Deaths,"1,298","1,339",100,0.160241819,
AZ,Arizona,2016,February,Number of Drug Overdose Deaths,"1,307","1,344",100,0.139897767,
AZ,Arizona,2016,March,Number of Drug Overdose Deaths,"1,313","1,353",100,0.154477175,
AZ,Arizona,2016,April,Number of Drug Overdose Deaths,"1,335","1,381",100,0.173648026,
AZ,Arizona,2016,May,Number of Drug Overdose Deaths,"1,350","1,403",100,0.201691377,
AZ,Arizona,2016,June,Number of Drug Overdose Deaths,"1,370","1,439",100,0.261262534,
AZ,Arizona,2016,July,Number of Drug Overdose Deaths,"1,421","1,511",100,0.33236613,
AZ,Arizona,2016,August,Number of Drug Overdose Deaths,"1,410","1,510",100,0.372191011,
AZ,Arizona,2016,September,Number of Drug Overdose Deaths,"1,404","1,510",100,0.394383972,
AZ,Arizona,2016,October,Number of Drug Overdose Deaths,"1,405","1,530",100,0.464409798,
AZ,Arizona,2016,November,Number of Drug Overdose Deaths,"1,397","1,537",100,0.520505834,
AZ,Arizona,2016,December,Number of Drug Overdose Deaths,"1,393","1,561",100,0.618718867,
AZ,Arizona,2017,January,Number of Drug Overdose Deaths,"1,417","1,573",100,0.618621557,* Underreported due to incomplete data
AZ,Arizona,2017,February,Number of Drug Overdose Deaths,"1,411","1,575",100,0.625309122,* Underreported due to incomplete data
AZ,Arizona,2017,March,Number of Drug Overdose Deaths,"1,429","1,596",100,0.62729906,* Underreported due to incomplete data
AZ,Arizona,2017,April,Number of Drug Overdose Deaths,"1,418","1,582",100,0.616387403,* Underreported due to incomplete data
AZ,Arizona,2017,May,Number of Drug Overdose Deaths,"1,437","1,597",100,0.595846702,* Underreported due to incomplete data
AZ,Arizona,2017,June,Number of Drug Overdose Deaths,"1,455","1,613",100,0.561226279,* Underreported due to incomplete data
AZ,Arizona,2017,July,Number of Drug Overdose Deaths,"1,450","1,599",100,0.519049283,* Underreported due to incomplete data
AZ,Arizona,2017,August,Number of Drug Overdose Deaths,"1,468","1,621",100,0.498988066,* Underreported due to incomplete data
AZ,Arizona,2017,September,Number of Drug Overdose Deaths,"1,492","1,640",100,0.483150559,* Underreported due to incomplete data
AZ,Arizona,2017,October,Number of Drug Overdose Deaths,"1,503","1,625",100,0.405510788,* Underreported due to incomplete data
AZ,Arizona,2017,November,Number of Drug Overdose Deaths,"1,517","1,623",100,0.364654442,* Underreported due to incomplete data
AZ,Arizona,2017,December,Number of Drug Overdose Deaths,"1,555","1,621",100,0.256616427,* Underreported due to incomplete data
AZ,Arizona,2018,January,Number of Drug Overdose Deaths,"1,565","1,641",100,0.302069174,* Underreported due to incomplete data
CA,California,2015,January,Number of Deaths,"248,191",,100,0.238123058,
CA,California,2015,February,Number of Deaths,"249,920",,100,0.23087388,
CA,California,2015,March,Number of Deaths,"251,540",,100,0.224616363,
CA,California,2015,April,Number of Deaths,"252,831",,100,0.22267839,
CA,California,2015,May,Number of Deaths,"253,858",,100,0.217444398,
CA,California,2015,June,Number of Deaths,"254,838",,100,0.219747447,
CA,California,2015,July,Number of Deaths,"255,417",,100,0.224339022,
CA,California,2015,August,Number of Deaths,"256,464",,100,0.233950964,
CA,California,2015,September,Number of Deaths,"257,163",,100,0.255868846,
CA,California,2015,October,Number of Deaths,"257,750",,100,0.278952473,
CA,California,2015,November,Number of Deaths,"258,808",,100,0.308336682,
CA,California,2015,December,Number of Deaths,"260,172",,100,0.355918392,
CA,California,2016,January,Number of Deaths,"259,303",,100,0.359810723,
CA,California,2016,February,Number of Deaths,"260,508",,100,0.363904371,
CA,California,2016,March,Number of Deaths,"261,416",,100,0.371438627,
CA,California,2016,April,Number of Deaths,"261,595",,100,0.37768306,
CA,California,2016,May,Number of Deaths,"261,557",,100,0.391883987,
CA,California,2016,June,Number of Deaths,"261,467",,100,0.396990825,
CA,California,2016,July,Number of Deaths,"261,603",,100,0.410163492,
CA,California,2016,August,Number of Deaths,"261,781",,100,0.420198563,
CA,California,2016,September,Number of Deaths,"262,041",,100,0.419781637,
CA,California,2016,October,Number of Deaths,"262,751",,100,0.417124959,
CA,California,2016,November,Number of Deaths,"262,360",,100,0.39297149,
CA,California,2016,December,Number of Deaths,"263,199",,100,0.363983146,
CA,California,2017,January,Number of Deaths,"265,340",,100,0.364814954,* Underreported due to incomplete data
CA,California,2017,February,Number of Deaths,"264,887",,100,0.36355125,* Underreported due to incomplete data
CA,California,2017,March,Number of Deaths,"264,765",,100,0.361830302,* Underreported due to incomplete data
CA,California,2017,April,Number of Deaths,"265,286",,100,0.360365794,* Underreported due to incomplete data
CA,California,2017,May,Number of Deaths,"265,954",,100,0.35645262,* Underreported due to incomplete data
CA,California,2017,June,Number of Deaths,"266,904",,100,0.360803885,* Underreported due to incomplete data
